source,target,relation,confidence,weight,source_file
0128_GSLoc,0130_GSplatLoc,semantically_similar_to,INFERRED,0.9,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,concept_3DGS_c2,references,EXTRACTED,1.0,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,dataset_Replica_c2,shares_data_with,EXTRACTED,1.0,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,metric_PoseError_c2,references,EXTRACTED,1.0,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0129_LoGS,concept_3DGS_c2,references,EXTRACTED,1.0,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md
0129_LoGS,dataset_7Scenes_c2,shares_data_with,EXTRACTED,1.0,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md
0130_GSplatLoc,concept_3DGS_c2,references,EXTRACTED,1.0,0130_[Robotics]_SplatLoc 3D Gaussian Splatting-based Visual Localization for Augmente.md
0136_sgloc,0140_dynamicgsg,semantically_similar_to,INFERRED,0.7,0136_[Robotics]_SGLoc Semantic Localization System for Camera Pose Estimation from.md
0140_dynamicgsg,0183_xgs,semantically_similar_to,INFERRED,0.8,0140_[Robotics]_DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation.md
0141_dqomap,0140_dynamicgsg,semantically_similar_to,INFERRED,0.75,0141_[Robotics]_DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting.md
method:radiative_gs,paper:0197,rationale_for,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
method:radiative_gs,paper:0207,rationale_for,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
method:vggt,paper:0201,rationale_for,INFERRED,0.82,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
method:vggt,paper:0204,rationale_for,INFERRED,0.82,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0193,concept:audio_driven_talking_head,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,dataset:HDTF,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:3DGS,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:colmap,references,EXTRACTED,0.8,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:deformable_3dgs,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:hubert,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:per_gaussian_embeddings,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:triplane_encoding,references,EXTRACTED,0.9,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:FVMD,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:LMD,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:LPIPS,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:PSNR,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:SSIM,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:SyncC,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0197,concept:medical_imaging_gs,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,dataset:FIPS,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:3DGS,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:density_guided_perturbation,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:next_best_view,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:radiative_gs,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,metric:PSNR,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,metric:SSIM,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,paper:0207,semantically_similar_to,INFERRED,0.88,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,paper:0209,conceptually_related_to,INFERRED,0.65,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0200,dataset:AIR_Lab_360,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:3DGS,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:colmap,references,EXTRACTED,0.8,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:erp_cubemap,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:fpfh_icp,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:prism_downsampling,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:LPIPS,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:PSNR,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:SSIM,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0201,dataset:RealEstate10K,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:3DGS,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:depth_anything,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:feed_forward_gs,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:triangle_splatting,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:vggt,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:LPIPS,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:PSNR,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:SSIM,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,paper:0213,semantically_similar_to,INFERRED,0.72,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0204,concept:reflective_surface_reconstruction,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:GlossySynthetic,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:Ref_Real,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:ShinySynthetic,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:3DGS,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:indiASG,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:mip_cubemap,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:pbr_decomposition,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:vggt,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:ChamferDistance,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:LPIPS,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:MAE,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:PSNR,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:SSIM,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,paper:0201,conceptually_related_to,INFERRED,0.62,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,paper:0213,conceptually_related_to,INFERRED,0.6,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0205,concept:robotic_digital_twin,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:3DGS,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:cosserat_rod,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:pbd,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,paper:0200,conceptually_related_to,INFERRED,0.68,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0207,concept:medical_imaging_gs,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,dataset:DSA_15,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,dataset:DSA_28,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:3DGS,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:multi_fidelity_texture,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:radiative_gs,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:super_resolution_gs,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,metric:PSNR,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,metric:SSIM,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,paper:0209,conceptually_related_to,INFERRED,0.65,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0209,concept:compositional_3d_generation,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,concept:medical_imaging_gs,references,INFERRED,0.75,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:Aoralscan3,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:DeepBlue,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:Shining3D,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:3DGS,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:graph_diffusion,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:sds,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:ChamferDistance,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:FID,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:LPIPS,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:PSNR,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:PenetrationDistance,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0213,concept:sparse_view_nvs,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:DTU,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:LLFF,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:MipNeRF360,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:3DGS,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:depth_anything,references,EXTRACTED,0.9,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:hierarchical_gs,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:multimodal_importance_sampling,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:LPIPS,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:PSNR,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:SSIM,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,paper:0201,shares_data_with,INFERRED,0.61,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,category_slam,belongs_to,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_3d_gaussian_splatting,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_imu_integration,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_navigation,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_nerf,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_reconstruction,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,concept_slam,references,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,dataset_replica,shares_data_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,dataset_tum_rgbd,shares_data_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_accuracy,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_ate,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_ate_rmse,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_iou,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_lpips,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_psnr,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_recall,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_spl,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_ssim,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,category_slam,belongs_to,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_3d_gaussian_splatting,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_imu_integration,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_nerf,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_reconstruction,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_slam,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,concept_visual_localization,references,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,dataset_euroc,shares_data_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,dataset_euroc_mav,shares_data_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,dataset_replica,shares_data_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_accuracy,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_ate,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_iou,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_lpips,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_psnr,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_spl,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,metric_ssim,evaluates_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,category_slam,belongs_to,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,concept_3d_gaussian_splatting,references,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,concept_imu_integration,references,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,concept_nerf,references,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,concept_reconstruction,references,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,concept_slam,references,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,dataset_replica,shares_data_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,dataset_scannet,shares_data_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,dataset_tum_rgbd,shares_data_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,metric_ate,evaluates_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
