:START_ID,:END_ID,:TYPE,relation,confidence,weight:float,source_file
0128_GSLoc,0129_LoGS,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.9,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,0130_GSplatLoc,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.9,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,dataset_Replica_c2,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0128_GSLoc,metric_PoseError_c2,REFERENCES,references,EXTRACTED,1.0,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md
0129_LoGS,dataset_7Scenes_c2,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md
0136_sgloc,0140_dynamicgsg,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.7,0136_[Robotics]_SGLoc Semantic Localization System for Camera Pose Estimation from.md
0140_dynamicgsg,0183_xgs,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.8,0140_[Robotics]_DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation.md
0141_dqomap,0140_dynamicgsg,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.75,0141_[Robotics]_DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting.md
method:radiative_gs,paper:0197,RATIONALE_FOR,rationale_for,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
method:radiative_gs,paper:0207,RATIONALE_FOR,rationale_for,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
method:vggt,paper:0201,RATIONALE_FOR,rationale_for,INFERRED,0.82,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
method:vggt,paper:0204,RATIONALE_FOR,rationale_for,INFERRED,0.82,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0193,concept:audio_driven_talking_head,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,dataset:HDTF,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:colmap,REFERENCES,references,EXTRACTED,0.8,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:deformable_3dgs,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:hubert,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:per_gaussian_embeddings,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,method:triplane_encoding,REFERENCES,references,EXTRACTED,0.9,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:FVMD,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:LMD,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0193,metric:SyncC,REFERENCES,references,EXTRACTED,1.0,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md
paper:0197,concept:medical_imaging_gs,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,dataset:FIPS,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:density_guided_perturbation,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:next_best_view,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,method:radiative_gs,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,paper:0207,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.88,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0197,paper:0209,CONCEPTUALLY_RELATED_TO,conceptually_related_to,INFERRED,0.65,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md
paper:0200,dataset:AIR_Lab_360,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:colmap,REFERENCES,references,EXTRACTED,0.8,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:erp_cubemap,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:fpfh_icp,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,method:prism_downsampling,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0200,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md
paper:0201,dataset:RealEstate10K,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:depth_anything,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:feed_forward_gs,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:triangle_splatting,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,method:vggt,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0201,paper:0213,SEMANTICALLY_SIMILAR_TO,semantically_similar_to,INFERRED,0.72,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md
paper:0204,concept:reflective_surface_reconstruction,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:GlossySynthetic,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:Ref_Real,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,dataset:ShinySynthetic,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:indiASG,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:mip_cubemap,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:pbr_decomposition,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,method:vggt,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:ChamferDistance,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:MAE,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,paper:0201,CONCEPTUALLY_RELATED_TO,conceptually_related_to,INFERRED,0.62,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0204,paper:0213,CONCEPTUALLY_RELATED_TO,conceptually_related_to,INFERRED,0.6,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md
paper:0205,concept:robotic_digital_twin,REFERENCES,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:cosserat_rod,REFERENCES,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,method:pbd,REFERENCES,references,EXTRACTED,1.0,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0205,paper:0200,CONCEPTUALLY_RELATED_TO,conceptually_related_to,INFERRED,0.68,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md
paper:0207,concept:medical_imaging_gs,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,dataset:DSA_15,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,dataset:DSA_28,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:multi_fidelity_texture,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:radiative_gs,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,method:super_resolution_gs,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0207,paper:0209,CONCEPTUALLY_RELATED_TO,conceptually_related_to,INFERRED,0.65,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md
paper:0209,concept:compositional_3d_generation,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,concept:medical_imaging_gs,REFERENCES,references,INFERRED,0.75,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:Aoralscan3,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:DeepBlue,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,dataset:Shining3D,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:graph_diffusion,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,method:sds,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:ChamferDistance,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:FID,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0209,metric:PenetrationDistance,REFERENCES,references,EXTRACTED,1.0,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md
paper:0213,concept:sparse_view_nvs,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:DTU,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:LLFF,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,dataset:MipNeRF360,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:3DGS,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:depth_anything,REFERENCES,references,EXTRACTED,0.9,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:hierarchical_gs,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,method:multimodal_importance_sampling,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:LPIPS,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:PSNR,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,metric:SSIM,REFERENCES,references,EXTRACTED,1.0,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper:0213,paper:0201,SHARES_DATA_WITH,shares_data_with,INFERRED,0.61,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,metric_recall,EVALUATES_WITH,evaluates_with,EXTRACTED,1.0,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,dataset_euroc,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,dataset_euroc_mav,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md"
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,dataset_gibson,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,metric_recall,EVALUATES_WITH,evaluates_with,EXTRACTED,1.0,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md
paper_0005_slam_sgs_slam_semantic_gaussian_splatting_for_neural_dense_slam,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0005_[SLAM]_SGS-SLAM Semantic Gaussian Splatting For Neural Dense SLAM.md
paper_0005_slam_sgs_slam_semantic_gaussian_splatting_for_neural_dense_slam,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0005_[SLAM]_SGS-SLAM Semantic Gaussian Splatting For Neural Dense SLAM.md
paper_0006_slam_neds_slam_a_novel_neural_explicit_dense_semantic_slam_framework_using,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0006_[SLAM]_NEDS-SLAM A Novel Neural Explicit Dense Semantic SLAM Framework using.md
paper_0006_slam_neds_slam_a_novel_neural_explicit_dense_semantic_slam_framework_using,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0006_[SLAM]_NEDS-SLAM A Novel Neural Explicit Dense Semantic SLAM Framework using.md
paper_0006_slam_neds_slam_a_novel_neural_explicit_dense_semantic_slam_framework_using,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0006_[SLAM]_NEDS-SLAM A Novel Neural Explicit Dense Semantic SLAM Framework using.md
paper_0007_slam_endogslam_real_time_dense_reconstruction_and_tracking_in_endoscopic_su,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0007_[SLAM]_EndoGSLAM Real-Time Dense Reconstruction and Tracking in Endoscopic Su.md
paper_0008_slam_cg_slam_efficient_dense_rgb_d_slam_in_a_consistent_uncertainty_aware,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md
paper_0008_slam_cg_slam_efficient_dense_rgb_d_slam_in_a_consistent_uncertainty_aware,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md
paper_0008_slam_cg_slam_efficient_dense_rgb_d_slam_in_a_consistent_uncertainty_aware,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md
paper_0008_slam_cg_slam_efficient_dense_rgb_d_slam_in_a_consistent_uncertainty_aware,metric_chamfer,EVALUATES_WITH,evaluates_with,EXTRACTED,1.0,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md
paper_0009_slam_rtg_slam_real_time_3d_reconstruction_at_scale_using_gaussian_splattin,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0009_[SLAM]_RTG-SLAM Real-time 3D Reconstruction at Scale using Gaussian Splattin.md
paper_0009_slam_rtg_slam_real_time_3d_reconstruction_at_scale_using_gaussian_splattin,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0009_[SLAM]_RTG-SLAM Real-time 3D Reconstruction at Scale using Gaussian Splattin.md
paper_0009_slam_rtg_slam_real_time_3d_reconstruction_at_scale_using_gaussian_splattin,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0009_[SLAM]_RTG-SLAM Real-time 3D Reconstruction at Scale using Gaussian Splattin.md
paper_0010_slam_splat_slam_globally_optimized_rgb_only_slam_with_3d_gaussians,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md
paper_0010_slam_splat_slam_globally_optimized_rgb_only_slam_with_3d_gaussians,concept_pose_graph_optimization,REFERENCES,references,EXTRACTED,1.0,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md
paper_0010_slam_splat_slam_globally_optimized_rgb_only_slam_with_3d_gaussians,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md
paper_0010_slam_splat_slam_globally_optimized_rgb_only_slam_with_3d_gaussians,dataset_tum_rgbd,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md
paper_0011_slam_mg_slam_structure_gaussian_slam_with_manhattan_world_hypothesis,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0011_[SLAM]_MG-SLAM Structure Gaussian SLAM with Manhattan World Hypothesis.md
paper_0011_slam_mg_slam_structure_gaussian_slam_with_manhattan_world_hypothesis,dataset_scannet,SHARES_DATA_WITH,shares_data_with,EXTRACTED,1.0,0011_[SLAM]_MG-SLAM Structure Gaussian SLAM with Manhattan World Hypothesis.md
paper_0012_slam_tambridge_bridging_frame_centered_tracking_and_3d_gaussian_splatting_f,category_slam,BELONGS_TO,belongs_to,EXTRACTED,1.0,0012_[SLAM]_TAMBRIDGE Bridging Frame-Centered Tracking and 3D Gaussian Splatting f.md
